"Datacenter","ansible_fqdn","ansible_host"
"igqprqavc01","etcdray01","10.80.102.206"
"igqprqavc01","etcdray02","10.80.102.207"
"igqprqavc01","etcdray03","10.80.102.205"
"igqprqavc01","igqprnmt01","10.80.130.37"
"igqprqavc01","igqprnmt02","10.80.130.38"
"igqprqavc01","igqq3l7gw01.alaskaair.com","10.24.67.20"
"igqprqavc01","igqq3l7gw02.alaskaair.com","10.24.67.21"
"igqprqavc01","igqq3mqipt01","10.24.72.22"
"igqprqavc01","igqq3mqipt02","10.24.72.23"
"igqprqavc01",,
"igqprqavc01",,
"igqprqavc01","igqqaadsmc01.alaskaair.com","10.24.20.58"
"igqprqavc01","igqqaansitest01.alaskaair.com","10.80.96.23"
"igqprqavc01","igqqabaa01","10.80.102.93"
"igqprqavc01","igqqacarkpsmp01","10.24.24.17"
"igqprqavc01","igqqacarkpsmp02","10.24.24.18"
"igqprqavc01","localhost.localdomain","10.80.99.187"
"igqprqavc01","igqqacts4aapp01.alaskaair.com","10.24.20.43"
"igqprqavc01","igqqacts4aapp02.alaskaair.com","10.24.20.44"
"igqprqavc01","igqqacts4alb01.alaskaair.com","10.24.20.47"
"igqprqavc01","igqqacts4amq01.alaskaair.com","10.24.20.45"
"igqprqavc01","igqqacts4amq02.alaskaair.com","10.24.20.46"
"igqprqavc01","igqqacts4anag01.alaskaair.com","10.24.20.70"
"igqprqavc01","igqqacts4apgdb01.alaskaair.com","10.24.20.40"
"igqprqavc01","igqqadbamysql01.alaskaair.com","10.24.20.11"
"igqprqavc01","igqqadbapgdb01.alaskaair.com","159.49.196.80"
"igqprqavc01","igqqadramysql01.alaskaair.com","159.49.196.81"
"igqprqavc01","igqqadwcentos01","10.80.103.99"
"igqprqavc01","igqqafltopsdb01.aagqa.net","10.24.131.20"
"igqprqavc01","igqqag2n77a01","172.20.77.12"
"igqprqavc01","igqqagarbage01.alaskaair.com","10.80.96.97"
"igqprqavc01","igqqagarbage02.aagqa.net","10.24.129.22"
"igqprqavc01","igqqahabcon01","10.80.102.166"
"igqprqavc01","igqqahabcon02","10.80.100.63"
"igqprqavc01","igqqahabcon03","10.80.102.165"
"igqprqavc01","igqqajbls01","10.80.102.93"
"igqprqavc01","igqqajpcmpt01.ocp-igq-jp-qa.alaskaair.com","10.80.164.105"
"igqprqavc01","igqqajpcmpt02.ocp-igq-jp-qa.alaskaair.com","10.80.164.106"
"igqprqavc01","igqqajpcmpt03.ocp-igq-jp-qa.alaskaair.com","10.80.164.107"
"igqprqavc01","igqqajpcmpt04.ocp-igq-jp-qa.alaskaair.com","10.80.164.108"
"igqprqavc01","igqqajpcmpt05.ocp-igq-jp-qa.alaskaair.com","10.80.164.109"
"igqprqavc01","igqqajpinf01.ocp-igq-jp-qa.alaskaair.com","10.80.164.110"
"igqprqavc01","igqqajpinf02.ocp-igq-jp-qa.alaskaair.com","10.80.164.111"
"igqprqavc01","igqqajpinf03.ocp-igq-jp-qa.alaskaair.com","10.80.164.112"
"igqprqavc01","igqqajplanin01.alaskaair.com","10.80.97.146"
"igqprqavc01","igqqajpmstr01.ocp-igq-jp-qa.alaskaair.com","10.80.164.102"
"igqprqavc01","igqqajpmstr02.ocp-igq-jp-qa.alaskaair.com","10.80.164.103"
"igqprqavc01","igqqajpmstr03.ocp-igq-jp-qa.alaskaair.com","10.80.164.104"
"igqprqavc01","igqqak8sak01","10.80.102.170"
"igqprqavc01","igqqak8sak02","10.80.100.231"
"igqprqavc01","igqqak8sak03","10.80.102.171"
"igqprqavc01",,
"igqprqavc01","igqqak8shab01","10.80.102.224"
"igqprqavc01","igqqak8shab02","10.80.102.241"
"igqprqavc01","igqqak8shab03","10.80.102.103"
